source,target,release_date,populairty
Wolfgang Amadeus Mozart,János Starker,1951,0
Giuseppe Verdi,Giuseppe Taddei,1951,0
Giuseppe Verdi,Rosanna Carteri,1951,0
Giuseppe Taddei,Rosanna Carteri,1951,0
Johann Strauss I,Wiener Philharmoniker,1951,0
Giuseppe Verdi,Giulietta Simionato,1951,0
Frédéric Chopin,Claudio Arrau,1951,0
Wolfgang Amadeus Mozart,Rudolf Serkin,1951,0
Rudolf Serkin,George Szell,1951,0
Ljuba Welitsch,Vienna State Opera Orchestra,1951,0
Giacomo Puccini,Maria Callas,1952,0
Richard Wagner,Wiener Philharmoniker,1952,0
Richard Wagner,Varnay,1952,0
Richard Wagner,Uhde,1952,0
Richard Wagner,Greindl,1952,0
Varnay,Uhde,1952,0
Varnay,Greindl,1952,0
Uhde,Greindl,1952,0
Johann Sebastian Bach,Jo Vincent,1952,0
Johann Sebastian Bach,Concertgebouworkest,1952,0
Jo Vincent,Concertgebouworkest,1952,0
Carl Maria von Weber,Arturo Toscanini,1952,0
Ludwig van Beethoven,Pablo Casals,1952,2
Giuseppe Verdi,Ebe Stignani,1952,0
Giuseppe Verdi,Graziella Sciutti,1952,0
Ebe Stignani,Graziella Sciutti,1952,0
Franz Schubert,Rudolf Serkin,1952,0
Richard Strauss,Sieglinde Wagner,1952,0
Richard Strauss,Wiener Philharmoniker,1952,0
Sieglinde Wagner,Wiener Philharmoniker,1952,0
Claude Debussy,Suzanne Danco,1952,0
Richard Wagner,Inge Borkh,1952,0
Richard Wagner,Hans Hotter,1952,0
Richard Wagner,Ira Malaniuk,1952,0
Inge Borkh,Hans Hotter,1952,0
Inge Borkh,Ira Malaniuk,1952,0
Hans Hotter,Ira Malaniuk,1952,0
Robert Schumann,Eugene Ormandy,1952,1
Robert Schumann,Philadelphia Orchestra,1952,1
Ludwig van Beethoven,Budapest String Quartet,1952,0
Richard Wagner,Bayreuth Festival Orchestra,1952,1
Giuseppe Verdi,Nicola Rossi-Lemeni,1952,0
Richard Wagner,Hotter,1952,0
Richard Wagner,Neidlinger,1952,0
Richard Wagner,Streich,1952,0
Hotter,Varnay,1952,0
Hotter,Neidlinger,1952,0
Hotter,Streich,1952,0
Varnay,Neidlinger,1952,0
Varnay,Streich,1952,0
Neidlinger,Streich,1952,0
Richard Wagner,Otto Edelmann,1952,0
Otto Edelmann,Wiener Philharmoniker,1952,0
Georges Bizet,Richard Tucker,1953,0
Wolfgang Amadeus Mozart,Elisabeth Schwarzkopf,1953,0
Wolfgang Amadeus Mozart,Erna Berger,1953,0
Wolfgang Amadeus Mozart,Cesare Siepi,1953,0
Elisabeth Schwarzkopf,Erna Berger,1953,0
Elisabeth Schwarzkopf,Cesare Siepi,1953,0
Elisabeth Schwarzkopf,Wiener Philharmoniker,1953,0
Erna Berger,Cesare Siepi,1953,0
Erna Berger,Wiener Philharmoniker,1953,0
Cesare Siepi,Wiener Philharmoniker,1953,0
Vincenzo Bellini,Giuseppe Di Stefano,1953,0
Vincenzo Bellini,Rolando Panerai,1953,0
Giuseppe Di Stefano,Rolando Panerai,1953,0
Wolfgang Amadeus Mozart,Otto Edelmann,1953,0
Cesare Siepi,Otto Edelmann,1953,0
Pietro Mascagni,Maria Callas,1953,2
Johannes Brahms,Concertgebouworkest,1953,0
Engelbert Humperdinck,Herbert von Karajan,1953,0
Engelbert Humperdinck,Elisabeth Grümmer,1953,0
Engelbert Humperdinck,Elisabeth Schwarzkopf,1953,0
Engelbert Humperdinck,Philharmonia Orchestra,1953,0
Herbert von Karajan,Elisabeth Grümmer,1953,0
Herbert von Karajan,Elisabeth Schwarzkopf,1953,0
Herbert von Karajan,Philharmonia Orchestra,1953,0
Elisabeth Grümmer,Elisabeth Schwarzkopf,1953,0
Elisabeth Grümmer,Philharmonia Orchestra,1953,0
Elisabeth Schwarzkopf,Philharmonia Orchestra,1953,0
Igor Stravinsky,Sir Peter Pears,1953,0
Vincenzo Bellini,Maria Callas,1953,1
Maria Callas,Rolando Panerai,1953,1
Amilcare Ponchielli,Maria Callas,1953,0
Wolfgang Amadeus Mozart,Arthur Rubinstein,1953,2
Antonio Vivaldi,Ottorino Respighi,1953,0
Ludwig van Beethoven,Daniel Barenboim,1953,6
Ludwig van Beethoven,London Philharmonic Orchestra,1953,6
Daniel Barenboim,London Philharmonic Orchestra,1953,6
Vincenzo Bellini,Nicola Rossi-Lemeni,1953,3
Maria Callas,Nicola Rossi-Lemeni,1953,3
Nicola Rossi-Lemeni,Rolando Panerai,1953,3
Amilcare Ponchielli,Fedora Barbieri,1953,0
Maria Callas,Fedora Barbieri,1953,0
Robert Schumann,Pablo Casals,1953,0
Hector Berlioz,Arturo Toscanini,1953,0
Richard Wagner,Arturo Toscanini,1953,0
Engelbert Humperdinck,Josef Metternich,1953,0
Herbert von Karajan,Josef Metternich,1953,0
Josef Metternich,Philharmonia Orchestra,1953,0
Wolfgang Amadeus Mozart,Philharmonia Orchestra,1953,0
Richard Wagner,Ferdinand Frantz,1953,0
Giuseppe Verdi,Maria Callas,1954,13
Nikolai Rimsky-Korsakov,Fritz Reiner,1954,2
Andrés Segovia,Felix Mendelssohn,1954,3
Richard Strauss,Fritz Reiner,1954,2
Oscar Peterson,Buddy DeFranco,1954,7
Giacomo Puccini,Philharmonia Orchestra,1954,11
Maria Callas,Philharmonia Orchestra,1954,11
Doris Day,Harry James,1954,2
Dinah Washington,Clifford Brown,1954,3
Giacomo Puccini,Herbert von Karajan,1955,13
Giacomo Puccini,Nicolai Gedda,1955,13
Giacomo Puccini,Plinio Clabassi,1955,13
Maria Callas,Herbert von Karajan,1955,13
Maria Callas,Nicolai Gedda,1955,13
Maria Callas,Plinio Clabassi,1955,13
Herbert von Karajan,Nicolai Gedda,1955,13
Herbert von Karajan,Plinio Clabassi,1955,13
Nicolai Gedda,Plinio Clabassi,1955,13
Léo Delibes,Maria Callas,1955,15
Léo Delibes,Philharmonia Orchestra,1955,15
Antonín Dvořák,Fritz Reiner,1955,4
Antonín Dvořák,Chicago Symphony Orchestra,1955,4
Dave Brubeck Trio,Gerry Mulligan,1955,4
Max Bruch,Jascha Heifetz,1955,7
Buddy Rich,"Harry ""Sweets"" Edison",1955,8
Johann Sebastian Bach,Glenn Gould,1955,8
Johann Sebastian Bach,Ernest Macmillan,1955,8
Glenn Gould,Ernest Macmillan,1955,8
Ravi,Lata Mangeshkar,1955,8
La Sonora Matancera,Celia Cruz,1956,12
Hank Thompson,Hank Thompson And His Brazos Valley Boys,1956,10
Paul Chambers,John Coltrane,1956,12
J.J. Johnson,Kai Winding,1956,9
Charles Mingus,Dave Brubeck,1956,6
Louis Prima,Keely Smith,1957,15
Red Garland,Paul Chambers,1957,15
Red Garland,Art Taylor,1957,15
Paul Chambers,Art Taylor,1957,15
Thelonious Monk,Sonny Rollins,1957,17
Thelonious Monk,Clark Terry,1957,17
Sonny Rollins,Clark Terry,1957,17
Thelonious Monk,Gerry Mulligan,1957,10
Thelonious Monk,Wilbur Ware,1957,10
Gerry Mulligan,Wilbur Ware,1957,10
Ella Fitzgerald,Duke Ellington,1957,17
Lee Konitz,Gerry Mulligan Quartet,1957,13
Jutta Hipp,Zoot Sims,1957,16
Barney Kessel,Shelly Manne,1957,15
Barney Kessel,Ray Brown,1957,15
Shelly Manne,Ray Brown,1957,15
Art Blakey & The Jazz Messengers,Thelonious Monk,1958,14
Thelonious Monk Quartet,Johnny Griffin,1958,14
Wolfgang Amadeus Mozart,Glenn Gould,1958,16
Alexander Borodin,George Szell,1958,13
Alexander Borodin,Cleveland Orchestra,1958,13
The Dave Brubeck Quartet,Dave Brubeck,1958,9
Maurice Ravel,Glenn Gould,1959,20
Ludwig van Beethoven,Jennifer Vyvyan,1960,18
Ludwig van Beethoven,Shirley Verrett,1960,18
London Symphony Orchestra,Jennifer Vyvyan,1960,18
London Symphony Orchestra,Shirley Verrett,1960,18
Jennifer Vyvyan,Shirley Verrett,1960,18
Dinah Washington,Brook Benton,1960,16
Pyotr Ilyich Tchaikovsky,Leonard Bernstein,1960,20
