name,filtered_genre,gender
Art Blakey Quintet,Jazz,male
Art Farmer,Jazz,male
Art Garfunkel,Oldies,male
Art Of Dying,Metal,male
Art Pepper,Jazz,male
Art Porter,Jazz,male
Art Tatum,Jazz,male
Art Taylor,Jazz,male
Art Van Damme Quintet,Jazz,male
Art Wood,Rock,male
Arthur Grumiaux,Classical,male
Arthur Honegger,Classical,male
Arthur Lee,Rock,male
Arthur Lyman,Jazz,male
Arthur Rubin,Classical,male
Arthur Rubinstein,Classical,male
Arthur Russell,Pop,male
Arthur Verocai,Jazz,male
Artie Shaw,Jazz,male
Artifacts,Hip-hop,unknown
Artist Vs Poet,Pop,unknown
"Artists Of Then, Now & Forever",Country,unknown
Arturo Benedetti Michelangeli,Classical,male
Arturo Toscanini,Classical,male
Arvo Pärt,Classical,male
As Blood Runs Black,Metal,unknown
As I Lay Dying,Metal,unknown
Asaf Avidan & the Mojos,Pop,male
Ash,EDM,unknown
Asha Bhosle,Pop,female
Asha Puthli,Jazz,female
Ashanti,EDM,female
Ashe,Indie,unknown
Asher D,Hip-hop,male
Asher Roth,Hip-hop,male
Ashes Remain,Rock,unknown
Ashford & Simpson,Jazz,unknown
Ashlee Simpson,EDM,female
Ashley McBryde,Country,female
Ashley Monroe,Country,female
Ashley Tisdale,EDM,female
Ashnikko,Pop,unknown
Ashra,Rock,unknown
Asia,Pop,female
Asian Doll,Pop,unknown
Asking Alexandria,Metal,female
Aslan,Pop,male
Asleep At The Wheel,Country,female
Assorted Jelly Beans,Rock,female
Astar Shamir,Pop,male
Astor Piazzolla,Classical,unknown
Astrid S,EDM,female
Astrid Varnay,Classical,female
Astronomyy,Indie,unknown
Astrud Gilberto,Jazz,male
Aswad,Rock,unknown
At The Drive In,EDM,female
At The Gates,Metal,female
Ataúlfo Argenta,Classical,female
Aterciopelados,Pop,unknown
Atlanta,Country,unknown
Atlanta Rhythm Section,Country,unknown
Atlas Genius,Indie,unknown
Atlas Sound,Indie,unknown
Atmosphere,Hip-hop,unknown
Atomic Kitten,EDM,unknown
Atomic Rooster,Rock,unknown
Atreyu,Metal,unknown
Attack Attack!,EDM,unknown
Attaque 77,Rock,unknown
Attila,Metal,male
Au/Ra,EDM,unknown
Audien,EDM,unknown
Audio Adrenaline,Rock,unknown
Audio Two,Hip-hop,unknown
Audiodub,Rock,unknown
Audioslave,Metal,unknown
Audra Mae,Rock,female
Audrey Assad,Indie,female
Audrey Mika,Pop,female
August Alsina,EDM,male
August Burns Red,Metal,male
Augustana,Pop,unknown
Augustus Pablo,Rock,male
Aurelio Voltaire,Pop,male
Aurora,Pop,female
Austin Burke,Country,male
Austin Mahone,EDM,male
Austin Moon,Pop,male
Austin Wintory,Indie,male
Australian Crawl,Rock,unknown
Autechre,EDM,unknown
Autograf,EDM,unknown
Autograph,Metal,unknown
Ava Max,EDM,female
Avant,EDM,unknown
Avatar,Metal,unknown
Avenged Sevenfold,Metal,unknown
Aventura,Hip-hop,unknown
Average White Band,Jazz,unknown
Avicii,EDM,unknown
Avril Lavigne,EDM,female
Axel,Indie,male
Axel Thesleff,EDM,male
Axwell,EDM,unknown
Axwell /\ Ingrosso,EDM,unknown
Ayah Marar,Pop,unknown
Ayden,Rock,male
Ayo & Teo,Pop,male
Ayub Ogada,Pop,unknown
Ayumi Hamasaki,Pop,female
AzChike,Rap,unknown
Azealia Banks,EDM,unknown
Azizi Gibson,Hip-hop,unknown
Aztec Camera,EDM,unknown
Azucar Moreno,Pop,male
Azul Violeta,Rock,female
Azymuth,Indie,unknown
B!G,Country,unknown
B*Witched,EDM,unknown
B-Legit,Rap,unknown
B-Real,Rap,unknown
B.B. King,Jazz,male
B.G.,Hip-hop,unknown
B.G. Knocc Out,Rap,unknown
B.J. Thomas,Country,male
B.T. Express,Jazz,unknown
B.o.B,EDM,unknown
B2K,EDM,unknown
B5,Pop,unknown
BABYMETAL,Metal,unknown
BACK-ON,Pop,unknown
BADBADNOTGOOD,Hip-hop,unknown
BAEKHYUN,Pop,unknown
BAINS.,Hip-hop,unknown
BANKS,EDM,unknown
BANNERS,Indie,unknown
BAYNK,EDM,unknown
BBC Philharmonic,Classical,unknown
BBC Symphony Orchestra,Classical,unknown
BENEE,Pop,unknown
BETWEEN FRIENDS,Indie,unknown
BIA,Rap,unknown
BIGBANG,Pop,unknown
BJ The Chicago Kid,Hip-hop,female
BLACKPINK,Pop,unknown
BLUE ENCOUNT,Pop,unknown
BONES,Hip-hop,unknown
BR549,Country,unknown
BROCKHAMPTON,Hip-hop,unknown
BRONSON,Hip-hop,unknown
BROWN & GRAY,Country,unknown
BTS,Pop,unknown
BUCK-TICK,Metal,unknown
BURNOUT SYNDROMES,Rock,unknown
Baaba Maal,Pop,unknown
Baauer,EDM,unknown
Baba Brooks & His Band,Rock,male
Babasónicos,EDM,unknown
Babatunde Olatunji,Pop,unknown
Babik Reinhardt,Jazz,male
Baby,Hip-hop,unknown
Baby Ariel,Pop,male
Baby Bash,EDM,unknown
Baby Boy,Hip-hop,male
Baby Boy Da Prince,Hip-hop,male
Baby Dodds,Jazz,unknown
Baby E,Hip-hop,unknown
Baby G,Hip-hop,unknown
Baby Keem,Hip-hop,unknown
Baby Ranks,Hip-hop,unknown
Baby Rasta,Hip-hop,unknown
Baby Rasta & Gringo,Hip-hop,unknown
Baby Washington,R&B,unknown
Babyface,EDM,unknown
Babylon A.D.,Metal,unknown
Baccara,Pop,unknown
Bachman-Turner Overdrive,Country,unknown
Bacilos,Pop,unknown
Backstreet Boys,EDM,unknown
Bad Bad Hats,Indie,unknown
Bad Boys Blue,EDM,unknown
Bad Brains,Rock,unknown
Bad Bunny,Rap,androgynous
Bad Company,Country,unknown
Bad English,Metal,unknown
Bad Lip Reading,Pop,unknown
Bad Lucc,Rap,unknown
Bad Meets Evil,Hip-hop,unknown
Bad Omens,Metal,unknown
Bad Religion,Pop,unknown
Bad Suns,Indie,unknown
Bad Wolves,Metal,unknown
Baden Powell,Jazz,male
Badfinger,Country,unknown
Badflower,Rock,unknown
Badly Drawn Boy,Pop,male
Bag Raiders,EDM,unknown
Baha Men,Pop,male
Bahamadia,Hip-hop,unknown
Bahamas,Indie,unknown
