artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,filtered_genre
Marietta,0.0516,0.276,271339,0.637,0.0153,0.683,-8.904,0.0319,137.861,0.403,47,0,1,2,"['alternative emo', 'diy emo', 'emo', 'indie punk', 'midwest emo', 'philly indie']",Indie
Mariinsky Orchestra,0.9545,0.1395,177286.5,0.022845,0.869,0.09255,-29.865,0.0378,136.3745,0.04915,51,7,1,2,"['classical performance', 'orchestra']",Classical
Marika Rossa,0.055,0.754,330000,0.739,0.871,0.109,-6.333,0.0636,128.005,0.212,13,7,1,1,"['dark techno', 'ukrainian electronic']",EDM
Marillion,0.1096415,0.3443,329548,0.4926,0.0815409,0.14386,-10.0726,0.04024,123.4595,0.28308,46.8,2,1,20,"['album rock', 'art rock', 'classic rock', 'neo-progressive', 'progressive rock', 'soft rock', 'symphonic rock']",Rock
Marilyn Horne,0.9814,0.2684,152274.8,0.20628,0.005732,0.21108,-16.9234,0.05084,98.0658,0.071,7.2,4,1,5,"['classical mezzo-soprano', 'opera']",Classical
Marilyn Manson,0.014734102,0.48660274,249541.8904,0.837479452,0.112909666,0.300415068,-6.695410959,0.088882192,140.1150137,0.343227397,46.09589041,9,1,146,"['alternative metal', 'industrial', 'industrial metal', 'industrial rock', 'nu metal', 'wrestling']",Metal
Marine Girls,0.396,0.4175,136780,0.2625,0.12145,0.182,-17.593,0.038,130.4655,0.7445,27.5,8,0,4,"['c86', 'twee pop']",Pop
Marinella,0.8045,0.574,200833.5,0.387,4.76E-05,0.222,-11.8995,0.0447,121.629,0.6435,35.5,11,0,4,"['classic greek pop', 'entehno', 'greek pop', 'laiko']",Pop
Mario,0.152921739,0.657826087,245533.8696,0.581130435,0.000120963,0.173486957,-6.982,0.125208696,110.0523913,0.585434783,55.86956522,0,1,23,"['dance pop', 'deep pop r&b', 'hip pop', 'pop', 'r&b', 'rap', 'urban contemporary']",EDM
"Mario ""El Cachorro"" Delgado",0.532,0.738,215937.6667,0.876,0,0.266966667,-2.667333333,0.078333333,122.9843333,0.829333333,49.66666667,0,1,3,"['corrido', 'corridos tumbados', 'deep regional mexican', 'norteno', 'regional mexican', 'regional mexican pop']",Pop
Mario Castelnuovo-Tedesco,0.965222222,0.347777778,271289.7778,0.114977778,0.568134444,0.107711111,-26.85844444,0.047366667,107.3508889,0.191244444,3.888888889,1,1,9,"['early modern classical', 'impressionism']",Classical
